name,handedness,height,weight,avg,HR,BMI
Ned Yost,R,73,190,0.212,16,25.06
Bob Stinson,B,71,180,0.25,33,25.10
Mike Warren,R,73,175,0,0,23.09
Gaylord Perry,R,76,205,0.131,6,24.95
Dave Marshall,L,73,182,0.246,16,24.01
Mickey Hatcher,R,74,200,0.28,38,25.68
Roger Repoz,L,75,190,0.224,82,23.75
Bill Fulton,R,75,195,0,0,24.37
John Orsino,R,75,215,0.249,40,26.87
Larry Anderson,R,75,190,0,0,23.75
Johnny Briggs,L,73,190,0.253,139,25.06
Craig Mitchell,R,75,180,0,0,22.50
Dave Hostetler,R,76,215,0.229,37,26.17
Bob Jones,L,74,195,0.221,20,25.03
Keith Hernandez,L,72,180,0.296,162,24.41
Alfredo Martinez,R,75,185,0,0,23.12
Dean Chance,R,75,200,0.066,0,25.00
Willie Upshaw,L,72,185,0.262,123,25.09
Dick Green,R,70,180,0.24,80,25.82
Dane Iorg,L,72,180,0.276,14,24.41
Richie Hebner,L,73,195,0.276,203,25.72
Fran Healy,R,77,220,0.25,20,26.09
Doc Edwards,R,74,215,0.238,15,27.60
Sandy Alomar,B,69,140,0.245,13,20.67
Joe Strain,R,70,169,0.25,1,24.25
Gene Richards,L,72,175,0.29,26,23.73
Buddy Bell,R,73,180,0.279,201,23.75
Al Woods,L,75,190,0.271,35,23.75
Rudy Law,L,73,165,0.271,18,21.77
Joel Davis,L,77,205,0,0,24.31
Jody Davis,R,76,192,0.245,127,23.37
Mike Edwards,R,70,154,0.25,2,22.09
Bill Mooneyham,R,72,175,0,0,23.73
John Hobbs,R,75,190,0,0,23.75
Deron Johnson,R,74,200,0.244,245,25.68
John Denny,R,75,185,0.17,0,23.12
Don Wert,R,70,162,0.242,77,23.24
Mike Fiore,L,72,175,0.227,13,23.73
Miguel Dilone,B,72,160,0.265,6,21.70
Greg Luzinski,R,73,220,0.276,307,29.02
Bobby Tolan,L,71,170,0.265,86,23.71
Karl Best,R,76,190,0,0,23.13
Steve Barr,L,76,200,0,0,24.34
Ron Woods,R,70,168,0.233,26,24.10
Tony Horton,R,75,210,0.268,76,26.25
Randy Hundley,R,71,170,0.236,82,23.71
Jose Tartabull,L,71,165,0.261,2,23.01
Ben Oglivie,L,74,160,0.273,235,20.54
Luis Sanchez,R,74,170,0,0,21.82
Bob Johnson,R,70,175,0.272,44,25.11
Don Buford,B,67,160,0.264,93,25.06
Duane Kuiper,L,72,175,0.271,1,23.73
Brant Alyea,R,75,215,0.247,38,26.87
Jerry Narron,L,75,205,0.211,21,25.62
Lou Johnson,R,71,170,0.258,48,23.71
Ken Retzer,L,72,185,0.264,14,25.09
Mike Brown,R,74,195,0.265,23,25.03
Mike Brown,R,74,195,0,0,25.03
Greg Walker,L,75,205,0.26,113,25.62
Terry Harper,R,76,195,0.253,36,23.73
Jerry Royster,R,72,165,0.249,40,22.38
Steve Davis,L,73,195,0,0,25.72
Jeff Rineer,L,76,205,0,0,24.95
Barry Bonnell,R,75,190,0.272,56,23.75
Tom Seaver,R,73,195,0.154,12,25.72
Jerry Martin,R,73,195,0.251,85,25.72
Bill Stein,R,70,170,0.267,44,24.39
Joel Youngblood,R,72,180,0.265,80,24.41
Reggie Jackson,L,72,195,0.262,563,26.44
Sonny Jackson,L,69,150,0.251,7,22.15
Mark Mercer,L,77,220,0,0,26.09
Rodney Scott,B,72,160,0.236,3,21.70
Rich Coggins,L,68,170,0.265,12,25.85
Phil Gagliano,R,73,180,0.238,14,23.75
Jerry McNertney,R,72,180,0.237,27,24.41
Mitchell Page,L,74,205,0.266,72,26.32
Kiko Garcia,R,71,180,0.239,12,25.10
Larry Milbourne,B,72,161,0.254,11,21.83
Bill Sudakis,B,73,190,0.234,59,25.06
John Caneira,R,75,180,0,0,22.50
Domingo Ramos,R,70,154,0.24,8,22.09
Ron Oester,B,74,185,0.265,42,23.75
Glenn Adams,L,73,180,0.28,34,23.75
Clint Zavaras,R,73,175,0,0,23.09
Joe Morgan,L,67,160,0.271,268,25.06
R.J. Reynolds,B,72,190,0.267,35,25.77
Mike Parrott,R,76,210,0,0,25.56
Lee Thomas,L,74,195,0.255,106,25.03
Ray Fosse,R,74,215,0.256,61,27.60
Paul Popovich,B,72,175,0.233,14,23.73
John Stephenson,L,71,180,0.216,12,25.10
Doug Clemens,L,72,180,0.229,12,24.41
Luis Aponte,R,72,185,0,0,25.09
Orlando Mercado,R,72,180,0.199,7,24.41
Charley Smith,R,73,170,0.239,69,22.43
Paul Boris,R,74,200,0,0,25.68
Buddy Biancalana,B,71,160,0.205,6,22.31
De Wayne Buice,R,72,170,0,0,23.05
Bob Uecker,R,73,190,0.2,14,25.06
Felix Torres,R,71,165,0.254,27,23.01
Steve Braun,L,70,180,0.271,52,25.82
Ray Knight,R,73,185,0.271,84,24.41
Ty Cline,L,72,170,0.238,6,23.05
Thad Bosley,L,75,175,0.272,20,21.87
Bobby Grich,R,74,180,0.266,224,23.11
Jimmie Hall,L,72,175,0.254,121,23.73
John Boccabella,R,73,195,0.219,26,25.72
Brock Davis,L,70,160,0.26,1,22.96
Mark Esser,R,73,190,0,0,25.06
Curt Blefary,L,74,195,0.237,112,25.03
Daryl Smith,R,76,185,0,0,22.52
Dave Smith,R,73,190,0,0,25.06
Mack Jones,L,73,180,0.252,133,23.75
Buddy Bradford,R,71,170,0.226,52,23.71
Hosken Powell,L,73,175,0.259,17,23.09
Dave Stapleton,L,73,185,0,0,24.41
Dave Stapleton,R,73,178,0.271,41,23.48
Gary Ward,R,74,195,0.276,130,25.03
Jim Lonborg,R,77,200,0.136,3,23.71
Joe Lis,R,72,175,0.233,32,23.73
Dan Meyer,L,71,180,0.253,86,25.10
Jim Holt,L,72,180,0.265,19,24.41
Tom Klawitter,R,74,190,0,0,24.39
Larry Herndon,R,75,190,0.274,107,23.75
Gary Christenson,L,77,200,0,0,23.71
Jim Wright,R,77,205,0,0,24.31
Jim Wright,R,73,165,0,0,21.77
Wallace Johnson,B,72,173,0.255,5,23.46
Mike Kinnunen,L,73,185,0,0,24.41
Eddie Leon,R,72,170,0.236,24,23.05
Dave Rajsich,L,77,175,0,0,20.75
Jim Wohlford,R,71,175,0.26,21,24.40
J.R. Richard,R,80,222,0.168,10,24.39
Bill Voss,L,74,160,0.227,19,20.54
Keith Moreland,R,72,190,0.279,121,25.77
Ramon Pena,R,70,155,0,0,22.24
Alex Johnson,R,72,205,0.288,78,27.80
Wayne Krenchicki,L,73,180,0.266,15,23.75
Chico Escarrega,R,71,185,0,0,25.80
Dave Rosello,R,71,160,0.236,10,22.31
Cardell Camper,R,75,208,0,0,26.00
Paul Schaal,R,71,165,0.244,57,23.01
Tito Landrum,R,71,175,0.249,13,24.40
Dave Edwards,R,72,170,0.237,14,23.05
Mario Guerrero,R,70,155,0.257,7,22.24
Tom Tresh,B,73,180,0.245,153,23.75
Mike Overy,R,74,190,0,0,24.39
Ron Roenicke,B,72,180,0.238,17,24.41
Doug Griffin,R,72,160,0.245,7,21.70
Steve Blass,R,72,165,0.172,1,22.38
Johnnie LeMaster,R,74,165,0.222,22,21.18
Craig Chamberlain,R,73,190,0,0,25.06
Nate Oliver,R,70,160,0.226,2,22.96
Ray Sadecki,L,71,180,0.191,5,25.10
Ken Rudolph,R,73,180,0.213,6,23.75
Wayne Nordhagen,R,74,205,0.282,39,26.32
Biff Pocoroba,B,70,175,0.257,21,25.11
Len Matuszek,L,74,190,0.234,30,24.39
Frank Eufemia,R,71,185,0,0,25.80
Joe Lefebvre,L,70,170,0.258,31,24.39
Jim Maloney,L,74,190,0.201,7,24.39
Andre Robertson,R,70,155,0.251,5,22.24
Jerry Zimmerman,R,74,185,0.204,3,23.75
Jack Lazorko,R,71,200,0,0,27.89
Mike Paxton,R,71,190,0,0,26.50
Chet Lemon,R,72,190,0.273,215,25.77
Rickey Keeton,R,74,190,0,0,24.39
Phil Mankowski,L,72,180,0.264,8,24.41
Cleon Jones,R,72,185,0.281,93,25.09
Joaquin Andujar,B,72,170,0.127,5,23.05
Mike Lum,L,72,180,0.247,90,24.41
Johnny Grubb,L,75,175,0.278,99,21.87
Curt Motton,R,68,164,0.213,25,24.93
Johnny Bench,R,73,197,0.267,389,25.99
Dale Berra,R,72,180,0.236,49,24.41
Terry Felton,R,73,180,0,0,23.75
Bob Meacham,B,73,175,0.236,8,23.09
Mark Clear,R,76,200,0,0,24.34
Carl Warwick,R,70,170,0.248,31,24.39
Sam Bowens,R,73,188,0.223,45,24.80
George Wright,B,71,180,0.245,42,25.10
Luis Aguayo,R,69,173,0.236,37,25.54
Hal Lanier,R,74,180,0.228,8,23.11
Mike Pazik,L,74,195,0,0,25.03
Len Randle,B,70,169,0.257,27,24.25
Greg Pryor,R,72,180,0.25,14,24.41
Jim Traber,L,72,194,0.227,27,26.31
Dave Nelson,R,70,160,0.244,20,22.96
Lynn Jones,R,69,175,0.252,7,25.84
Bryan Little,B,70,160,0.245,3,22.96
Ken Suarez,R,69,175,0.227,5,25.84
Rick Peters,B,69,170,0.277,2,25.10
Ron Stone,L,74,185,0.241,6,23.75
Rich Barnes,R,76,186,0,0,22.64
Tommie Agee,R,71,195,0.255,130,27.19
Bob Bailey,R,73,180,0.257,189,23.75
Cap Peterson,R,74,195,0.23,19,25.03
Ted Uhlaender,L,74,190,0.263,36,24.39
Ted Simmons,B,71,193,0.285,248,26.92
Bobby Murcer,L,71,160,0.277,252,22.31
Dick Tracewski,R,71,160,0.213,8,22.31
Dave Frost,R,78,235,0,0,27.15
Mark Souza,L,72,180,0,0,24.41
Bill Nahorodny,R,74,200,0.241,25,25.68
Bill Madlock,R,71,180,0.305,163,25.10
Bob Boone,R,74,195,0.254,105,25.03
Rick Jones,L,77,190,0,0,22.53
Steve Kemp,L,72,195,0.278,130,26.44
Rick Burleson,R,70,165,0.273,50,23.67
Jim Dorsey,R,79,190,0,0,21.40
Mark Ciardi,R,72,180,0,0,24.41
Dennis Burtt,R,72,180,0,0,24.41
Carl Taylor,R,74,200,0.266,10,25.68
Terry Harmon,R,74,180,0.233,4,23.11
Mike Hargrove,L,72,195,0.29,80,26.44
Rich Yett,R,74,187,0,0,24.01
Steve Hovley,L,70,188,0.258,8,26.97
Don Leppert,R,74,220,0.229,15,28.24
Matt Williams,R,73,200,0,0,26.38
Jim Burton,R,75,195,0,0,24.37
Rick Anderson,R,74,210,0,0,26.96
Charlie Mitchell,R,75,170,0,0,21.25
Bill Paschall,R,72,175,0,0,23.73
John Bohnet,B,72,175,0,0,23.73
Byron McLaughlin,R,73,175,0,0,23.09
Lee May,R,75,195,0.267,354,24.37
Luis Quintana,L,74,175,0,0,22.47
Sam McDowell,L,77,190,0.154,2,22.53
Rick Renick,R,72,188,0.221,20,25.49
Jeff Torborg,R,72,195,0.214,8,26.44
Dave Campbell,R,73,180,0.213,20,23.75
Pat Kelly,L,73,185,0.264,76,24.41
Al Weis,B,72,160,0.219,7,21.70
Jerry Turner,L,69,180,0.257,45,26.58
Rick Auerbach,R,72,165,0.22,9,22.38
Keith Macwhorter,R,76,190,0,0,23.13
Don Wilson,R,74,195,0.146,1,25.03
Jaime Cocanower,R,76,200,0,0,24.34
Jeff Sellers,R,73,175,0,0,23.09
Sandy Valdespino,L,68,170,0.23,7,25.85
Steve Senteney,R,74,205,0,0,26.32
Howard Bailey,R,72,195,0,0,26.44
Jeff Bettendorf,R,75,180,0,0,22.50
Ken Phelps,L,73,209,0.239,123,27.57
Cesar Cedeno,R,74,175,0.285,199,22.47
Bob Davidson,R,72,185,0,0,25.09
Phil Linz,R,73,180,0.235,11,23.75
Manny Mota,R,70,160,0.304,31,22.96
Brian Snyder,L,75,185,0,0,23.12
Steve Renko,R,77,230,0.215,6,27.27
Rick Sofield,L,73,195,0.243,9,25.72
Carlos Velazquez,R,71,180,0,0,25.10
Roger Miller,R,75,200,0,0,25.00
Doug DeCinces,R,74,190,0.259,237,24.39
John Castino,R,71,175,0.278,41,24.40
Dave May,L,70,186,0.251,96,26.69
Ron Washington,R,71,155,0.261,20,21.62
Billy Grabarkewitz,R,70,165,0.236,28,23.67
Willie Aikens,L,75,220,0.271,110,27.50
Earl Williams,R,75,215,0.247,138,26.87
Willie Mueller,R,76,220,0,0,26.78
John Flinn,R,72,175,0,0,23.73
Don Hahn,R,73,180,0.236,7,23.75
Todd Cruz,R,72,175,0.22,34,23.73
Tom Egan,R,76,218,0.2,22,26.53
Bob Heise,R,72,175,0.247,1,23.73
Tommy Harper,R,69,165,0.257,146,24.36
Joe Wallis,B,71,180,0.244,16,25.10
Max Alvis,R,71,185,0.247,111,25.80
Rico Carty,R,75,200,0.299,204,25.00
Mike Cubbage,L,72,180,0.258,34,24.41
Les Straker,R,73,193,0,0,25.46
Merritt Ranew,L,71,170,0.247,8,23.71
Lyman Bostock,L,73,180,0.311,23,23.75
Damaso Garcia,R,73,165,0.283,36,21.77
Don Kainer,R,75,205,0,0,25.62
Don Gordon,R,73,175,0,0,23.09
Roy Howell,L,73,190,0.261,80,25.06
Boog Powell,L,76,230,0.266,339,27.99
Sandy Wihtol,R,73,195,0,0,25.72
Sonny Siebert,R,75,190,0.173,12,23.75
Jeff Richardson,R,75,185,0,0,23.12
Bobby Darwin,R,74,190,0.251,83,24.39
Dennis DeBarr,L,74,190,0,0,24.39
Dan Driessen,L,71,187,0.267,153,26.08
Bruce Miller,R,73,185,0.246,1,24.41
Bob Bailor,R,71,170,0.264,9,23.71
Tommy Helms,R,70,165,0.269,34,23.67
Tony Armas,R,71,182,0.252,251,25.38
Willie Horton,R,71,209,0.273,325,29.15
Lou Piniella,R,72,182,0.291,102,24.68
Butch Hobson,R,73,193,0.248,98,25.46
John Wathan,R,74,205,0.262,21,26.32
Hal King,L,73,200,0.214,24,26.38
Mike Krukow,R,77,205,0.193,5,24.31
Andres Mora,R,72,180,0.223,27,24.41
Barry Foote,R,75,205,0.23,57,25.62
Ed Ott,L,70,190,0.259,33,27.26
Alan Wiggins,B,74,160,0.259,5,20.54
Ron Clark,R,70,175,0.189,5,25.11
Jay Pettibone,R,76,182,0,0,22.15
Glen Cook,R,71,180,0,0,25.10
Julio Gotay,R,72,180,0.26,6,24.41
Gary Alexander,R,74,195,0.23,55,25.03
Andre Thornton,R,75,200,0.254,253,25.00
Bob Oliver,R,75,205,0.256,94,25.62
Bill Castro,R,71,170,0,0,23.71
Ed Hodge,L,74,192,0,0,24.65
Tom Buskey,R,75,200,0,0,25.00
Bruce Taylor,R,72,178,0,0,24.14
Stan Thomas,R,74,185,0,0,23.75
Bob Robertson,R,73,195,0.242,115,25.72
Larry Monroe,R,76,200,0,0,24.34
Roger Slagle,R,75,190,0,0,23.75
Ollie Brown,R,74,178,0.265,102,22.85
Jim Campbell,L,71,175,0,0,24.40
Frank Quilici,R,73,170,0.214,5,22.43
Curt Kaufman,R,74,175,0,0,22.47
Joe Pepitone,L,74,185,0.258,219,23.75
Steve Barber,L,72,195,0.115,5,26.44
De Wayne Vaughn,R,71,180,0,0,25.10
Norm Miller,L,70,185,0.238,24,26.54
Bob Galasso,L,73,205,0,0,27.04
Rich Wortham,R,72,185,0,0,25.09
Bob Chance,L,74,196,0.261,24,25.16
Julio Cruz,B,69,165,0.237,23,24.36
Bill Sample,R,69,175,0.272,46,25.84
Juan Nieves,L,75,175,0,0,21.87
Mike Bacsik,R,74,180,0,0,23.11
Craig Kusick,R,75,210,0.235,46,26.25
Rudy Meoli,L,69,165,0.212,2,24.36
Ruppert Jones,L,70,170,0.25,147,24.39
Glenn Hoffman,R,73,175,0.242,23,23.09
Russ Gibson,R,73,195,0.228,8,25.72
Phil Huffman,R,74,180,0,0,23.11
Terry Francona,L,73,190,0.274,16,25.06
John Bateman,R,75,210,0.23,81,26.25
Luis Pujols,R,74,175,0.193,6,22.47
Joe Gaines,R,73,190,0.241,21,25.06
Doug Rader,R,74,208,0.251,155,26.70
Mickey Stanley,R,73,185,0.248,117,24.41
Steve Brown,R,77,200,0,0,23.71
Rick Lysander,R,74,190,0,0,24.39
Phil Bradley,R,72,185,0.286,78,25.09
Winston Llenas,R,70,165,0.23,3,23.67
Charlie Moore,R,71,180,0.261,36,25.10
Ralph Garr,L,71,185,0.306,75,25.80
Tommy John,R,75,180,0.157,5,22.50
Bruce Benedict,R,73,175,0.242,18,23.09
John Ellis,R,74,225,0.262,69,28.89
Wes Parker,B,73,180,0.267,64,23.75
Mel Stottlemyre,R,72,190,0,0,25.77
David Green,R,75,170,0.268,31,21.25
Reid Nichols,R,71,165,0.266,22,23.01
Rick Reichardt,R,75,210,0.261,116,26.25
Luis Tiant,R,72,180,0.164,5,24.41
Alex Sanchez,R,74,185,0,0,23.75
Broderick Perkins,L,70,180,0.271,8,25.82
Leon Roberts,R,75,200,0.267,78,25.00
Ray Burris,R,77,200,0.151,1,23.71
Len Gabrielson,L,76,210,0.253,37,25.56
Johnny Edwards,L,76,220,0.242,81,26.78
Paul Wilmet,R,71,170,0,0,23.71
Tom Grieve,R,74,190,0.249,65,24.39
Bruce Ellingsen,L,72,180,0,0,24.41
Bob Forsch,R,76,200,0.213,12,24.34
Gorman Heimueller,L,76,195,0,0,23.73
Danny Cater,R,72,170,0.276,66,23.05
Bill Schroeder,R,74,200,0.24,61,25.68
Clay Dalrymple,L,72,190,0.233,55,25.77
Carlos May,L,71,200,0.274,90,27.89
Reggie Smith,B,72,180,0.287,314,24.41
Ron Reed,R,78,215,0.158,0,24.84
Fred Howard,R,75,190,0,0,23.75
Davey Johnson,R,73,170,0.261,136,22.43
Ellis Valentine,R,76,205,0.278,123,24.95
Roy White,B,70,160,0.271,160,22.96
Mike Brumley,L,70,195,0.229,5,27.98
Al Luplow,L,70,175,0.235,33,25.11
John Hoover,R,74,190,0,0,24.39
Dick Allen,R,71,187,0.292,351,26.08
Doug Ault,R,75,200,0.236,17,25.00
Mark Wagner,R,72,165,0.243,3,22.38
Mike Walters,R,77,203,0,0,24.07
Willie Stargell,L,74,188,0.282,475,24.14
Steve Carlton,L,76,210,0.201,13,25.56
Jake Wood,R,73,163,0.25,35,21.50
Del Unser,L,73,180,0.258,87,23.75
Bob Brower,R,71,185,0.242,17,25.80
Ray Culp,R,72,200,0.123,1,27.12
Ivan Murrell,R,74,195,0.236,33,25.03
Lee Mazzilli,B,73,180,0.259,93,23.75
Garth Iorg,R,71,170,0.258,20,23.71
Alan Ashby,B,74,185,0.245,90,23.75
Bob Brenly,R,74,210,0.247,91,26.96
Ron Blomberg,L,73,195,0.293,52,25.72
Jim Rooker,R,72,195,0.201,7,26.44
Tim Blackwell,B,71,170,0.228,6,23.71
Colby Ward,R,74,185,0,0,23.75
Jerry Morales,R,70,155,0.259,95,22.24
Davey Lopes,R,69,170,0.263,155,25.10
Catfish Hunter,R,72,190,0.226,6,25.77
Mario Soto,R,72,174,0.132,1,23.60
Jimmy Wynn,R,70,160,0.25,291,22.96
Hank Allen,R,72,190,0.241,6,25.77
Jim Fregosi,R,73,190,0.265,151,25.06
Pepe Frias,R,70,159,0.24,1,22.81
Mike Schmidt,R,74,195,0.267,548,25.03
Willie Montanez,L,72,170,0.275,139,23.05
Rey Quinones,R,71,160,0.243,29,22.31
Mike Squires,L,71,185,0.26,6,25.80
Champ Summers,L,74,205,0.255,54,26.32
Chuck Porter,R,75,187,0,0,23.37
Bert Campaneris,R,70,160,0.259,79,22.96
Bobby Valentine,R,70,189,0.26,12,27.12
Rob Andrews,R,72,185,0.251,3,25.09
Tom Haller,L,76,195,0.257,134,23.73
Tom Dozier,R,74,190,0,0,24.39
Ed Stroud,L,71,180,0.237,14,25.10
Ron Swoboda,R,74,195,0.242,73,25.03
Harry Spilman,L,73,180,0.237,18,23.75
Bob Barton,R,72,175,0.226,9,23.73
Daryl Sconiers,L,74,185,0.265,15,23.75
Joe Torre,R,74,212,0.297,252,27.22
Al Ferrara,R,73,200,0.259,51,26.38
Rick Steirer,R,76,200,0,0,24.34
Sixto Lezcano,R,70,165,0.271,148,23.67
Al Lachowicz,R,75,198,0,0,24.75
Dave Nicholson,R,74,215,0.212,61,27.60
Freddie Patek,R,65,148,0.242,41,24.63
Ken Hubbs,R,74,175,0.247,14,22.47
Pepe Mangual,R,70,157,0.242,16,22.52
Leron Lee,L,72,196,0.25,31,26.58
Tom McCarthy,R,72,180,0,0,24.41
Steve Ontiveros,B,72,185,0.274,24,25.09
Willie Davis,L,74,180,0.279,182,23.11
Tom Lawless,R,71,170,0.207,2,23.71
Jerry Moses,R,75,210,0.251,25,26.25
Bobby Bonds,R,73,190,0.268,332,25.06
Dave McNally,R,71,185,0.133,9,25.80
Darrell Brown,B,72,184,0.274,1,24.95
Roy Foster,R,72,185,0.253,45,25.09
Denis Menke,R,72,185,0.25,101,25.09
Hal Breeden,R,74,200,0.243,21,25.68
Manny Trillo,R,73,150,0.263,61,19.79
Jackie Gutierrez,R,71,175,0.237,4,24.40
Jerry Kenney,L,73,170,0.237,7,22.43
Fred Kendall,R,73,185,0.234,31,24.41
Mike Anderson,R,74,200,0.246,28,25.68
Jim Lewis,R,75,190,0,0,23.75
Joe Charboneau,R,74,205,0.266,29,26.32
Jimmie Schaffer,R,69,170,0.223,11,25.10
Junior Kennedy,R,71,175,0.248,4,24.40
Wilbur Howard,B,74,170,0.25,6,21.82
Rod Gilbreath,R,74,180,0.248,14,23.11
Mark Brouhard,R,73,210,0.259,25,27.70
Dan Morogiello,L,73,200,0,0,26.38
Mike Young,B,74,195,0.247,72,25.03
Chris Speier,R,73,175,0.246,112,23.09
Gene Michael,B,74,183,0.229,15,23.49
Vic Harris,B,71,165,0.217,13,23.01
Mike Fischlin,R,73,165,0.22,3,21.77
Don Money,R,73,170,0.261,176,22.43
Joe Rudi,R,74,200,0.264,179,25.68
Jim Rice,R,74,200,0.298,382,25.68
Shawn Holman,R,74,185,0,0,23.75
Alan Wirth,R,76,190,0,0,23.13
Gil Garrido,R,69,150,0.237,1,22.15
Marty Perez,R,71,160,0.246,22,22.31
Tom Matchick,L,73,173,0.215,4,22.82
Jack Perconte,L,70,160,0.27,2,22.96
Ed Kirkpatrick,L,71,195,0.238,85,27.19
Jerry Grote,R,70,185,0.252,39,26.54
Ellie Hendricks,L,73,175,0.22,62,23.09
Jim Beauchamp,R,74,190,0.231,14,24.39
Terry Wilshusen,R,74,210,0,0,26.96
Tito Fuentes,B,71,175,0.268,45,24.40
Ron Brand,R,67,167,0.239,3,26.15
Leo Cardenas,R,71,150,0.257,118,20.92
Art Shamsky,L,73,168,0.253,68,22.16
Steve Ellsworth,R,80,220,0,0,24.17
Ron Cey,R,70,185,0.261,316,26.54
Skip Jutze,R,71,190,0.215,3,26.50
Butch Wynegar,B,73,190,0.255,65,25.06
Ron LeFlore,R,72,200,0.288,59,27.12
Bill Russell,R,72,175,0.263,46,23.73
Gene Tenace,R,72,190,0.241,201,25.77
Bubba Morton,R,70,175,0.267,14,25.11
Ellie Rodriguez,R,71,185,0.245,16,25.80
Darrel Chaney,B,74,188,0.217,14,24.14
Dick Nen,L,74,200,0.224,21,25.68
Bryan Kelly,R,74,195,0,0,25.03
Bill Freehan,R,75,203,0.262,200,25.37
Steve Nicosia,R,70,185,0.248,11,26.54
Ted Savage,R,73,185,0.233,34,24.41
Pete Mackanin,R,74,190,0.226,30,24.39
Rich Dauer,R,72,180,0.257,43,24.41
Mick Kelleher,R,69,176,0.213,0,25.99
Rowland Office,L,72,170,0.259,32,23.05
Rick Leach,L,73,180,0.268,18,23.75
Dwayne Murphy,L,73,185,0.246,166,24.41
Larry Harlow,L,74,185,0.248,12,23.75
Mike Epstein,L,75,230,0.244,130,28.74
Jerry Mumphrey,B,74,185,0.289,70,23.75
Don Sutton,R,73,185,0.144,0,24.41
Glenn Beckert,R,73,190,0.283,22,25.06
Ron Davis,R,72,175,0.233,10,23.73
Mike Shannon,R,75,195,0.255,68,24.37
Jason Thompson,L,76,200,0.261,208,24.34
Wayne Tolleson,B,69,160,0.241,9,23.63
John Leister,R,74,200,0,0,25.68
Don Cooper,R,73,185,0,0,24.41
Mike Jorgensen,L,72,195,0.243,95,26.44
Ed Romero,R,71,160,0.247,8,22.31
Rick Joseph,R,73,192,0.243,13,25.33
Cecil Cooper,L,74,165,0.298,241,21.18
Bill Almon,R,75,180,0.254,36,22.50
Joe Ferguson,R,74,200,0.24,122,25.68
Jeff Jones,R,75,210,0,0,26.25
Jerry Terrell,R,71,165,0.253,4,23.01
John Poloni,L,77,210,0,0,24.90
Dave Revering,L,76,210,0.265,62,25.56
Curt Ford,L,70,150,0.245,7,21.52
Jerry Dybzinski,R,74,180,0.234,3,23.11
Mike Willis,L,74,205,0,0,26.32
Bob Burda,L,71,174,0.224,13,24.27
Jesse Gonder,L,70,180,0.251,26,25.82
Gary Sutherland,R,72,185,0.243,24,25.09
Bob Coluccio,R,71,183,0.22,26,25.52
Dave Rader,L,71,165,0.257,30,23.01
Ron Gardenhire,R,72,175,0.232,4,23.73
Bill Sharp,L,70,178,0.255,9,25.54
Alan Bannister,R,71,170,0.27,19,23.71
Bob Watson,R,72,201,0.295,184,27.26
Ken Harrelson,R,74,190,0.239,131,24.39
Bobby Wine,R,73,187,0.215,30,24.67
Stefan Wever,R,80,245,0,0,26.91
John Kennedy,R,72,185,0.225,32,25.09
Chico Ruiz,B,72,169,0.24,2,22.92
Dave Johnson,R,73,183,0,0,24.14
Gail Hopkins,L,70,198,0.266,25,28.41
Doug Frobel,L,76,196,0.201,20,23.86
Luis Melendez,R,72,165,0.248,9,22.38
Jerry Augustine,L,72,183,0,0,24.82
Bill Plummer,R,73,190,0.188,14,25.06
Buck Rodgers,B,74,190,0.232,31,24.39
Phil Niekro,R,73,180,0.169,7,23.75
Jeff Holly,L,77,210,0,0,24.90
Tom Poquette,L,70,175,0.268,10,25.11
Eric Hetzel,R,75,175,0,0,21.87
Brian Asselstine,L,73,175,0.254,12,23.09
Rick Miller,L,72,175,0.269,28,23.73
Ed Charles,R,70,170,0.263,86,24.39
Luis Gomez,R,69,150,0.21,0,22.15
Dave Lemanczyk,R,76,235,0,0,28.60
Al Jones,R,76,210,0,0,25.56
Floyd Rayford,R,70,190,0.244,38,27.26
Sam Hinds,R,78,215,0,0,24.84
Tony Conigliaro,R,75,185,0.264,166,23.12
Clay Christiansen,R,77,205,0,0,24.31
Jim Barr,R,75,205,0.162,1,25.62
Jerry Remy,L,69,165,0.275,7,24.36
Larry Rothschild,L,74,180,0,0,23.11
Frank Duffy,R,73,180,0.232,26,23.75
Gary Lance,B,75,195,0,0,24.37
Tom O'Malley,L,72,180,0.256,13,24.41
Phil Garner,R,70,175,0.26,109,25.11
Larry Pashnick,R,75,205,0,0,25.62
Todd Fischer,R,70,170,0,0,24.39
